weight 1,weight 2,bias
1.4000000000000001,0.80000000000000027,0.40000000000000002
0.40000000000000019,2.0,1.0
2.2000000000000002,1.4000000000000004,1.7999999999999998
1.0000000000000002,0.40000000000000036,2.1999999999999997
1.0000000000000002,1.0000000000000004,2.6000000000000001
1.2000000000000004,0.20000000000000062,3.0000000000000004
1.2000000000000004,-0.39999999999999947,3.4000000000000008
1.4000000000000004,1.2000000000000011,4.0000000000000009
0.20000000000000062,0.20000000000000107,4.4000000000000012
1.0000000000000007,0.40000000000000113,4.6000000000000014
1.0000000000000007,-0.19999999999999885,5.0000000000000018
1.2000000000000006,1.4000000000000012,5.6000000000000023
0.80000000000000049,8.8817841970012523e-16,5.8000000000000025
0.80000000000000049,-0.59999999999999876,6.2000000000000028
1.0000000000000004,1.0000000000000018,6.8000000000000034
0.40000000000000013,-0.19999999999999796,7.0000000000000036
0.40000000000000019,1.0000000000000022,7.2000000000000037
0.60000000000000009,0.2000000000000024,7.6000000000000041
0.19999999999999996,2.4424906541753444e-15,7.6000000000000041
0.20000000000000001,1.2000000000000024,7.8000000000000043
-0.20000000000000018,-0.19999999999999751,8.0000000000000036
0.59999999999999987,2.6645352591003757e-15,8.2000000000000028
0.60000000000000009,-0.59999999999999698,8.6000000000000014
0.80000000000000004,1.0000000000000036,9.1999999999999993
0.20000000000000018,-0.19999999999999618,9.3999999999999986
0.20000000000000023,1.000000000000004,9.5999999999999979
-1.2,-0.39999999999999614,9.3999999999999986
